department,avg_difficulty
art_profs,3.1586206896551734
bio_profs,3.370833333333333
business_profs,2.917391304347826
chem_profs,3.248
comms_profs,2.46
econ_profs,3.361538461538461
eecs_profs,3.3133333333333335
engl_profs,2.5921875
environ_profs,2.6538461538461537
history_profs,2.966666666666667
infosci_profs,3.21875
ioe_profs,2.5615384615384613
math_profs,3.5649999999999995
mech_profs,3.4055555555555554
music_profs,2.523076923076923
nursing_profs,2.8117647058823527
physics_profs,3.357142857142857
polisci_profs,2.8624999999999994
psych_profs,2.5826086956521737
stats_profs,3.4272727272727277
