department,would_take_again_percent
art_profs,52.773251724137936
bio_profs,61.086445833333336
business_profs,76.43644782608695
chem_profs,70.979708
comms_profs,69.50651
econ_profs,53.54448076923078
eecs_profs,64.15584500000001
engl_profs,76.631428125
environ_profs,71.20838461538462
history_profs,71.41113666666666
infosci_profs,55.51653125
ioe_profs,70.15029230769231
math_profs,65.57676833333333
mech_profs,64.92193888888889
music_profs,66.89290769230769
nursing_profs,55.80634117647059
physics_profs,70.24213333333334
polisci_profs,66.26697083333333
psych_profs,75.84926086956521
stats_profs,51.92387272727273
